code,code_level,food_category,food_group,major_food_code,minor_food_code,units,rse_indicator,percent_change_2021_22,percent_change_2019_20,significance,trend_2019_20,reliability_3yr_se,year,expenditure
3604,4,,,All other lamb,,p,High,4.685116078,-42.57949382,,,15.50511624,1974,0.596295243
41,3,,Pork,,,p,Medium,1.042562067,5.501678969,,,3.646050121,1974,9.035932988
4101,4,,,Pork joints,,p,High,-18.4504817,1.45871536,,,6.407215374,1974,3.788097427
4102,4,,,Pork chops,,p,High,27.66715436,-9.715547709,,,8.053774612,1974,3.813006313
4103,4,,,Pork fillets and steaks,,p,Medium,1.914885979,5.17673209,,,5.088123865,1974,0.691157321
4104,4,,,All other pork,,p,High,19.4484542,20.74230202,,,7.100355132,1974,0.743671927
46095,2,Non-carcase meat and meat products,,,,p,Very Low,7.160462506,-0.018766395,,,1.216973702,1974,55.91546829
46,3,,Liver,,,p,Very High,-40.1495376,-11.62725898,,,13.47210092,1974,3.702341212
4603,4,,,Ox liver,,p,Very High,-19.62262809,-49.76358295,,,47.51440262,1974,0.495020993
4604,4,,,Lambs liver,,p,Very High,55.21563458,17.62955303,,,18.7340963,1974,2.307246762
4605,4,,,Pigs liver,,p,Very High,-67.18942437,65.82833659,,,26.27590384,1974,0.806913711
4607,4,,,All other liver,,p,Very High,-79.73423815,-66.19458219,,,24.76947642,1974,0.093159746
51,3,,All offal other than liver,,,p,Very High,238.3493296,94.11080767,,,21.39304024,1974,1.079717776
55,3,,"Bacon and ham, uncooked",,,p,Low,10.2647188,-1.893967537,,,2.430242064,1974,13.43761746
5502,4,,,"Bacon and ham joints, uncooked",,p,High,-6.278032424,-22.71388149,,DOWN,5.470671929,1974,3.090652016
5505,4,,,"Bacon and ham rashers, uncooked",,p,Low,15.86466073,5.919028628,,,2.432353647,1974,10.34696545
58,3,,"Bacon and ham, cooked",,,p,Low,0.104069316,3.558289204,,,2.008375487,1974,4.330082353
59,3,,Cooked poultry not purchased in cans,,,p,Medium,18.16182154,-8.576213588,,,3.89647798,1974,0.621463348
5903,4,,,"Chicken and turkey, cooked",,p,Medium,0.033376428,-11.3907859,,,3.392303838,1974,0.55310238
5904,4,,,Takeaway chicken,,p,High,57.50626425,-4.390147163,,,8.530309324,1974,0.068360968
62,3,,"Corned beef, canned or sliced",,,p,Medium,-1.026796537,-9.005184262,,,4.732987725,1974,2.001160475
66,3,,Other cooked meat,,,p,Medium,3.760286217,17.89185241,,,3.964209413,1974,2.278925792
71,3,,Other canned meat and canned meat products,,,p,High,20.60969028,-3.965766359,,,6.472696263,1974,3.571872398
74,3,,"Chicken, uncooked - whole chicken or chicken pieces",,,p,Low,13.12587338,6.12452762,,,2.179384185,1974,6.909258495
77,3,,"Other poultry, uncooked (including frozen)",,,p,High,18.7980818,-3.525841275,,,7.393034908,1974,0.749723056
7703,4,,,"Turkey, uncooked - whole turkey or turkey pieces",,p,High,35.14801555,6.259091941,,,8.884329609,1974,0.664040421
7704,4,,,"Poultry other than chicken or turkey, uncooked",,p,Very High,-31.7350752,-38.29450998,,DOWN,11.6374887,1974,0.085682635
78,3,,"Other fresh, chilled and frozen meat",,,p,Very High,-48.60164681,145.3907108,,,26.39471095,1974,0.199634604
79,3,,"Sausages, uncooked - pork",,,p,Medium,9.149814716,10.51136032,,,2.507923811,1974,4.053016291
80,3,,"Sausages, uncooked - beef and other sausages",,,p,Very High,3.927387229,-0.597591017,,,9.385822605,1974,3.013206536
83,3,,"Meat pies and sausage rolls, ready to eat",,,p,Medium,-4.893899307,3.39968859,,,3.95962215,1974,1.4834507
8302,4,,,"Meat pies, ready to eat",,p,High,-7.442880633,13.81027813,,,5.548343117,1974,1.127422532
8303,4,,,"Sausage rolls, ready to eat",,p,Medium,-1.63142583,-6.860631666,,,5.255468549,1974,0.356028168
84,3,,"Meat pies, pasties and puddings, frozen or not frozen",,,p,Medium,7.406754517,6.218903389,,,3.265608096,1974,2.323903403
85,3,,"Burgers, frozen or not frozen",,,p,Medium,10.21944662,21.51992493,,,3.889761667,1974,1.103120814
89,3,,Ready meals and convenience meat products,,,p,Low,2.856906445,5.479216291,,,2.083731545,1974,2.385803222
8901,4,,,"Complete meat-based ready meals, frozen or not frozen",,p,Medium,-3.8375991,0.000263125,,,3.214864872,1974,0.438437249
8902,4,,,"Other convenience meat products, frozen or not frozen",,p,Low,9.509984609,10.77581537,,,2.363383533,1974,1.947365973
93,3,,Pate and delicatessen type sausage,,,p,Medium,-8.107595165,6.088202161,,,3.744031464,1974,0.508794353
9301,4,,,Pate,,p,High,-2.03891342,15.09442363,,,6.175821105,1974,
