code,code_level,food_category,food_group,major_food_code,minor_food_code,units
199,3,,,Canned potatoes,,g
200,3,,,Crisps and potato snacks,,g
201,3,,,"Other potato products, frozen or not frozen",,g
cat811,1,"Fresh and processed fruit and vegetables, excluding potatoes",,,,g
cat720,1,"Fresh and processed vegetables, excluding potatoes",,,,g
162171,2,,Fresh green vegetables,,,g
162,3,,,Fresh cabbages,,g
163,3,,,Fresh brussels sprouts,,g
164,3,,,Fresh cauliflower,,g
167,3,,,Leafy salads fresh,,g
16701,4,,,,Lettuce and leafy salads,g
16702,4,,,,Prepared lettuce salads,g
168,3,,,Fresh peas,,g
169,3,,,Fresh beans,,g
171,3,,,Other fresh green vegetables,,g
172183,2,,Other fresh vegetables,,,g
172,3,,,Fresh carrots,,g
173,3,,,Fresh turnips and swede,,g
174,3,,,Other fresh root vegetables,,g
175,3,,,"Fresh onions, leeks and shallots",,g
176,3,,,Fresh cucumbers,,g
177,3,,,Fresh mushrooms,,g
178,3,,,Fresh tomatoes,,g
183,3,,,Miscellaneous fresh vegtables,,g
18301,4,,,,"Fresh vegetable stewpack, stirfry pack etc.",g
18302,4,,,,Fresh stem vegetables,g
18303,4,,,,"Fresh marrow, courgettes, aubergine, pumpkin and other vegetables",g
18304,4,,,,Fresh herbs,g
cat702,2,Processed vegetables excluding processed potatoes,,,,g
184,3,,,"Tomatoes, canned or bottled",,g
185,3,,,"Peas, canned",,g
188,3,,,Beans canned,,g
18802,4,,,,Baked beans in sauce,g
18803,4,,,,Other canned beans and pulses,g
191,3,,,Other canned vegetables,,g
192,3,,,Dried pulses other than air-dried,,g
195,3,,,Air-dried vegetables,,g
196,3,,,Vegetable juices and purees,,ml
19602,4,,,,Tomato puree and vegetable purees,ml
19603,4,,,,"Vegetable juices eg tomato juice, carrot juice",ml
203,3,,,"Peas, frozen",,g
204,3,,,"Beans, frozen",,g
206,3,,,Ready meals and other vegetable products (inc takeaways),,g
20601,4,,,,"Ready meals and other vegetable products, frozen or not frozen",g
20604,4,,,,All vegetable takeaway products,g
208,3,,,Other frozen vegetables,,g
cat810,1,Fresh and processed fruit,,,,g
210231,2,,Fresh fruit,,,g
210,3,,,Fresh oranges,,g
214,3,,,Other fresh citrus fruits,,g
217,3,,,Fresh apples,,g
218,3,,,Fresh pears,,g
221,3,,,Fresh stone fruit,,g
222,3,,,Fresh grapes,,g
227,3,,,Other fresh soft fruit,,g
228,3,,,Fresh bananas,,g
229,3,,,Fresh melons,,g
231,3,,,Other fresh fruit,,g
233248,2,,Processed fruit and fruit products,,,g
233,3,,,"Tinned peaches, pears and pineapples",,g
236,3,,,All other tinned or bottled fruit,,g
240,3,,,Dried fruit,,g
241,3,,,"Frozen strawberries, apple slices, peach halves, oranges and other frozen fruits",,g
245,3,,,"Nuts, edible seeds and peanut butter",,g
24502,4,,,,Nuts and edible seeds,g
24503,4,,,,Peanut butter,g
248,3,,,Pure fruit juices [note 8],,ml
251263,2,,Bread,,,g
cat850,3,White bread,,,,g
251,4,,,"White bread, standard, unsliced",,g
252,4,,,"White bread, standard, sliced",,g
257,4,,,"White bread, premium, sliced and unsliced",,g
258,4,,,"White bread, soft grain, sliced and unsliced",,g
cat851,3,Brown and wholemeal bread,,,,g
259,4,,,"Brown bread, sliced and unsliced",,g
260,4,,,"Wholemeal and granary bread, sliced and unsliced",,g
263,3,,,Total other bread,,g
26302,4,,,,"Rolls - white, brown or wholemeal",g
26303,4,,,,Malt bread and fruit loaves,g
26304,4,,,,Vienna and french bread,g
26305,4,,,,Starch reduced bread and rolls,g
26308,4,,,,Other breads,g
26309,4,,,,Sandwiches,g
26310,4,,,,Sandwiches from takeaway,g
26311,4,,,,Takeaway breads,g
264264,2,,Flour,,,g
267270,2,,"Cakes, buns and pastries",,,g
267,3,,,"Buns, scones and teacakes",,g
270,3,,,Cakes and pastries,,g
27001,4,,,,"Cakes and pastries, not frozen",g
27002,4,,,,Takeaway pastries,g
271277,2,,Biscuits and crispbreads,,,g
271,3,,,Crispbread,,g
274,3,,,Biscuits other than chocolate,,g
27402,4,,,,Sweet biscuits (not chocolate) and cereal bars,g
27403,4,,,,Cream crackers and other unsweetened biscuits,g
277,3,,,Chocolate biscuits,,g
281301,2,,Other cereals and cereal products,,,g
281,3,,,Oatmeal and oat products,,g
282,3,,,Breakfast cereals,,g
28202,4,,,,Muesli,g
28203,4,,,,High fibre breakfast cereals,g
28204,4,,,,Sweetened breakfast cereals,g
28205,4,,,,Other breakfast cereals,g
285,3,,,Canned milk puddings,,g
28502,4,,,,Canned or fresh carton custard,g
28503,4,,,,All canned milk puddings,g
286,3,,,Puddings,,g
287,3,,,Rice,,g
28702,4,,,,Dried rice,g
28703,4,,,,Cooked rice,g
28704,4,,,,Takeaway rice,g
290,3,,,"Invalid foods, slimming foods and sports foods",,g
291,3,,,Infant cereal foods,,g
294,3,,,Cakes and pastries - frozen,,g
295,3,,,Pasta,,g
29501,4,,,,Canned pasta,g
29502,4,,,,Dried and fresh pasta,g
29503,4,,,,Takeaway pasta and noodles,g
296,3,,,Pizza,,g
29601,4,,,,"Pizzas, frozen and not frozen",g
29602,4,,,,Takeaway pizza,g
299,3,,,Other cereal convenience foods,,g
29907,4,,,,"Cake, pudding and dessert mixes",g
29909,4,,,,Cereal snacks,g
29915,4,,,,"Quiches and flans, frozen and not frozen",g
29916,4,,,,"Takeaway crisps, savoury snacks, popcorn, popadums, prawn crackers",g
29919,4,,,,"Other cereal foods, frozen and not frozen",g
301,3,,,Other cereals,,g
304313,2,,Beverages,,,g
304,3,,,Tea,,g
307,3,,,Coffee beans and ground coffee,,g
308,3,,,Instant coffee,,g
309,3,,,Coffee essences,,ml
310,3,,,Tea and coffee from takeaway,,ml
312,3,,,Cocoa and chocolate drinks,,g
313,3,,,Malt drinks and chocolate versions of malted drinks,,g
314339,2,,Other food and drink,,,g
314,3,,,Mineral or spring waters,,ml
315,3,,,Baby foods,,g
318,3,,,Soups - canned or cartons,,g
319,3,,,Soups - dehydrated or powdered,,g
320,3,,,Soups - from takeaway,,g
321,3,,,Other takeaway food brought home,,g
322,3,,,Meals on wheels - items not specified,,g
323,3,,,Spreads and dressings,,g
32302,4,,,,Salad dressings,g
32303,4,,,,Other spreads and dresssings,g
327,3,,,Pickles and sauces,,g
32702,4,,,,Pickles,g
32703,4,,,,Sauces,g
