code,code_level,food_category,food_group,major_food_code,minor_food_code,units,rse_indicator_,percentage_change_since_2021_22,percentage_change_since_2019_20,significance,trend_since_2019_20_,reliability_of_3_year_percent_relative_se,year,quantity
4607,4,,,,All other liver,g,Very High,-86.43256584,-82.97411545,yes,,22.36904728,1974,1.005058374
51,3,,,All offal other than liver,,g,Very High,80.5549302,48.63520014,,,21.19367812,1974,15.43487339
55,3,,,"Bacon and ham, uncooked",,g,High,22.76141095,8.325511983,,,5.97560892,1974,116.078819
5502,4,,,,"Bacon and ham joints, uncooked",g,Very High,57.72977741,25.0963146,,,17.9386752,1974,26.69812837
5505,4,,,,"Bacon and ham rashers, uncooked",g,Medium,8.886353278,0.575519083,,,2.487578916,1974,89.38069062
58,3,,,"Bacon and ham, cooked",,g,Low,-4.805058864,-7.843210903,,,2.039512795,1974,25.10028292
59,3,,,Cooked poultry not purchased in cans,,g,Medium,5.993619932,-16.18172673,yes,DOWN,3.43442724,1974,5.064430642
5903,4,,,,"Chicken and turkey, cooked",g,Medium,-2.302787917,-15.23199144,,,3.730228119,1974,4.507343272
5904,4,,,,Takeaway chicken,g,High,53.79973971,-19.48370605,,,8.511854091,1974,0.557087371
62,3,,,"Corned beef, canned or sliced",,g,Medium,-10.94345359,-13.37342948,,,5.325198247,1974,12.27497941
66,3,,,Other cooked meat,,g,Medium,-6.062065481,0.030859864,,,4.741987524,1974,16.47507521
71,3,,,Other canned meat and canned meat products,,g,High,0.698081582,-25.38799064,yes,DOWN,6.789006614,1974,47.96618727
74,3,,,"Chicken, uncooked - whole chicken or chicken pieces",,g,Low,-0.959338218,-7.796271371,,DOWN,2.17747481,1974,115.0069913
77,3,,,"Other poultry, uncooked (including frozen)",,g,High,13.33135609,-10.54841857,,,8.052131133,1974,12.43324127
7703,4,,,,"Turkey, uncooked - whole turkey or turkey pieces",g,High,14.12393661,-5.867012768,,,9.084400115,1974,11.01229941
7704,4,,,,"Poultry other than chicken or turkey, uncooked",g,Very High,8.997191209,-30.37412226,,,15.46668276,1974,1.420941859
78,3,,,"Other fresh, chilled and frozen meat",,g,Very High,-60.89808027,129.1141494,,,35.61515302,1974,2.597322914
79,3,,,"Sausages, uncooked - pork",,g,Medium,4.829254788,-0.494068596,,,2.514140526,1974,59.35953936
80,3,,,"Sausages, uncooked - beef and other sausages",,g,Very High,134.5730884,88.3124491,,,28.83494303,1974,47.64390173
83,3,,,"Meat pies and sausage rolls, ready to eat",,g,Medium,-8.91443914,-10.07975456,,,3.778616059,1974,20.93546004
8302,4,,,,"Meat pies, ready to eat",g,High,-13.20670492,-3.467439924,,,5.65353751,1974,15.91094963
8303,4,,,,"Sausage rolls, ready to eat",g,Medium,-4.447695588,-15.54789411,,,4.666041799,1974,5.024510409
84,3,,,"Meat pies, pasties and puddings, frozen or not frozen",,g,Medium,2.045234334,-8.77906629,,,3.072833384,1974,27.45675236
85,3,,,"Burgers, frozen or not frozen",,g,Medium,-0.118527038,0.552168841,,,4.092438645,1974,11.33722186
89,3,,,Ready meals and convenience meat products,,g,Low,-4.184602932,-8.371974964,,,1.983957732,1974,27.01017939
8901,4,,,,"Complete meat-based ready meals, frozen or not frozen",g,Medium,-6.632229428,-10.21414291,,,2.87065059,1974,4.830820951
8902,4,,,,"Other convenience meat products, frozen or not frozen",g,Low,-1.668237644,-6.499276034,,,2.380962791,1974,22.17935843
93,3,,,Pate and delicatessen type sausage,,g,Medium,-12.29281183,-8.933006198,,,3.847183703,1974,6.095280876
9301,4,,,,Pate,g,Medium,-5.395394571,0.940384538,,,5.468931506,1974,
9302,4,,,,Delicatessen type sausages,g,Medium,-13.85744882,-11.09935274,,,4.520638825,1974,6.095280876
94,3,,,Meat pastes and spreads,,g,Very High,-43.23278458,-11.34208984,,,14.29569715,1974,9.904831424
95,3,,,Takeaway meats,,g,Medium,6.899810463,-41.07410421,yes,DOWN,3.745945679,1974,16.0001123
9501,4,,,,Takeaway meat pies and pasties,g,Very High,-0.442203789,-44.15586936,,,18.50306028,1974,2.285730329
9502,4,,,,Takeaway burger and bun,g,High,-18.06311754,-44.62819422,yes,DOWN,7.083912615,1974,0.76191011
9503,4,,,,Takeaway kebabs,g,High,55.88825596,-24.85274994,,,8.801886133,1974,1.523820219
9504,4,,,,Takeaway sausages and saveloys,g,Very High,36.94628729,-40.1389034,yes,DOWN,10.64738517,1974,0
9505,4,,,,Takeaway meat based meals,g,Medium,2.665859347,-44.15969913,yes,DOWN,4.566746088,1974,11.42865164
9506,4,,,,Takeaway miscellaneous meats,g,Very High,136.4288387,82.65270619,,,28.47808311,1974,
100123,2,,Fish,,,g,Low,-6.926828914,-15.14178002,yes,DOWN,1.881575312,1974,123.3696927
102,3,,,"White fish, fresh, chilled or frozen",,g,High,-6.295711304,-5.615002756,,,6.350359717,1974,43.74694811
10201,4,,,,"White fish, fresh or chilled",g,High,-2.418381962,-20.72105091,,,6.673382534,1974,35.43738397
10202,4,,,,"White fish, frozen",g,Very High,-13.22933578,53.02152036,,,13.33519808,1974,8.309564134
106,3,,,"Herrings and other blue fish, fresh, chilled or frozen",,g,Very High,-9.744267757,-48.11327374,yes,DOWN,10.27800306,1974,2.700424001
10601,4,,,,"Herrings and other blue fish, fresh or chilled",g,Very High,0.643198745,-47.09492531,yes,DOWN,11.49407602,1974,2.700424001
10602,4,,,,"Herrings and other blue fish, frozen",g,Very High,-42.14856419,-53.02085419,,,22.79567556,1974,
107,3,,,"Salmon, fresh, chilled or frozen",,g,High,-16.15112526,11.54563055,,,6.032253051,1974,1.531431104
10701,4,,,,"Salmon, fresh or chilled",g,High,-15.07647178,23.93244324,,,6.351273947,1974,1.531431104
10702,4,,,,"Salmon, frozen",g,Very High,-34.13619163,-64.66438206,yes,DOWN,14.41050561,1974,
10801,3,,,"Blue fish, dried or salted or smoked",,g,Medium,-22.55512103,-23.52584914,yes,DOWN,4.577377204,1974,5.839631819
11401,3,,,"White fish, dried, salted or smoked",,g,High,-48.22163807,-60.72604635,yes,DOWN,8.946564341,1974,5.447655601
117,3,,,Shellfish,,g,Medium,16.53151476,3.963410336,,,4.878889886,1974,1.593951289
11702,4,,,,"Shellfish, fresh or chilled",g,High,13.72579817,5.516150218,,,5.922500226,1974,1.067947364
11703,4,,,,"Shellfish, frozen",g,High,20.82102649,1.807454378,,,8.175315154,1974,0.526003925
118,3,,,Takeaway fish,,g,High,5.14512328,-43.12956781,yes,DOWN,6.003261356,1974,19.94962997
119,3,,,"Salmon, tinned",,g,High,-20.36198826,-32.78297936,,,9.510280894,1974,5.557132267
120,3,,,Other tinned or bottled fish,,g,Medium,-10.87154505,-28.25408135,yes,DOWN,3.729045789,1974,12.02838854
121,3,,,Ready meals and other fish products - frozen or not frozen,,g,Medium,-3.223375215,-13.02064866,yes,DOWN,2.474065499,1974,23.01317997
123,3,,,Takeaway fish meals and fish products,,g,High,-13.78736886,-9.119757237,,,8.859715432,1974,1.961320065
12304,4,,,,Takeaway fish products,g,Very High,-22.09369858,-30.39654446,,,17.53213157,1974,0.402322065
12305,4,,,,Takeaway fish based meals,g,High,-12.00626326,-3.520757303,,,9.708737298,1974,1.558998001
129129,2,,Eggs,,,no.,Low,10.36464654,-10.02379662,,DOWN,1.910931188,1974,3.739207624
135148,2,,Fats,,,g,Low,9.926146148,-3.256319973,,,2.054476125,1974,315.9173452
135,3,,,Butter,,g,Medium,4.365830349,3.023748358,,,2.668414345,1974,147.4417537
138,3,,,Margarine,,g,Medium,15.99998242,6.53274933,,,3.168515388,1974,78.22197089
13801,4,,,,Soft margarine,g,Medium,13.94549025,3.350872522,,,3.22292056,1974,36.63442306
13802,4,,,,Other margarine,g,Very High,48.18111828,69.32164523,,,14.17578883,1974,41.58754783
139,3,,,"Lard, cooking fat",,g,Very High,12.5441672,-14.24627414,,,11.19599899,1974,58.12502774
143,3,,,Vegetable and salad oils,,ml,Medium,16.87960031,-4.847639011,,,4.546714089,1974,22.29210603
14304,4,,,,Olive oil,ml,High,4.786509683,-4.066896637,,,5.882135932,1974,4.458421205
14305,4,,,,Other vegetable and salad oils,ml,High,22.37832933,-5.148184884,,,5.76443208,1974,17.83368482
148,3,,,All other fats,,g,Medium,-2.130798897,-15.35995967,yes,DOWN,2.874822252,1974,9.836486865
14802,4,,,,Reduced fat spreads,g,Medium,-3.528818285,-19.3401093,yes,DOWN,3.639487891,1974,0
14803,4,,,,Low fat spreads,g,High,2.016559618,-3.961110882,,,6.932301304,1974,1.486309693
14805,4,,,,Suet and dripping,g,Very High,-16.88060784,-41.78129362,,,13.31364131,1974,6.699554793
14807,4,,,,Imitatation cream,g,High,0.397237085,-7.239510733,,,6.536216298,1974,1.650622379
